"partialQEP";"impliedPartialQEPs"
"767";"39"
"2319";"1451, 795, 18"
"2974";"2240, 90, 13"
"2633";"207, 199"
"2292";"134, 13"
"4499";"209, 210"
"1951";"1379, 90, 13"
"4158";"2022, 281, 13"
"1987";"216, 217"
"2705";"90, 13"
"2301";"90, 13"
"1646";"90, 13"
"4508";"281, 13, 2228, 3339"
"1960";"189, 87"
"1305";"216, 217"
"1619";"3148, 134, 13"
"4167";"207, 199"
"3512";"134, 13"
"3826";"189, 87"
"3171";"90, 13"
"3485";"167, 18"
"4266";"189, 87"
"2373";"90, 13"
"4580";"450, 18"
"3925";"2847, 90, 13"
"1314";"216, 217"
"4239";"281, 13"
"973";"931, 552"
"3521";"172, 175"
"3835";"1626, 281, 13"
"632";""
"3180";"605, 448"
"3494";"189, 87"
"2068";"134, 13"
"4275";"209, 210"
"4589";"209, 210"
"3934";"3825, 281, 13"
"4248";"306"
"3593";"558, 557, 94"
"3907";"529, 531, 94"
"641";"633"
"2534";"1060, 258"
"3252";"1436, 90, 13"
"3566";"172, 175"
"2848";"2048, 90, 13"
"1395";"281, 13"
"3602";"172, 175"
"3916";"216, 217"
"3261";"209, 210"
"2920";"281, 13"
"2579";"2184, 134, 13"
"2615";"172, 175"
"3333";"2598, 524"
"2929";"512, 505"
"2588";"2193, 90, 13"
"2247";"90, 13"
"4140";"281, 13"
"4454";"1287, 134, 13"
"713";"722"
"372";""
"3342";"2380, 281, 13, 1187"
"3001";"90, 13"
"1942";"207, 199"
"4149";"207, 199"
"1601";"4276, 90, 13"
"4463";"207, 199"
"3808";"207, 199"
"4122";"1086, 1084, 94"
"4562";"90, 13"
"1610";"510, 435"
"4221";"216, 217"
"4535";"216, 217"
"3880";"3710, 281, 13"
"3817";"2394, 281, 13"
"1269";"573, 562, 94"
"794";"804, 33"
"453";"452"
"2364";"907, 870, 94"
"4571";"167, 18"
"4230";"134, 13"
"4544";"456, 457, 81"
"3889";"281, 13"
"148";"149, 145"
"3548";"90, 13"
"462";"439"
"121";"119, 85"
"3584";"757"
"3898";"281, 13"
"157";"155, 154"
"3557";"216, 217"
"3216";"207, 199"
"2875";"94"
"1341";"1992, 281, 13"
"3970";"3434, 281, 13"
"3629";"207, 199"
"2911";"216, 217"
"2570";"536, 13"
"1009";"977, 313"
"668";"665, 94"
"3979";"620, 448"
"2238";"90, 13"
"4445";"209, 210"
"1897";"4710, 94"
"1422";"515, 18"
"363";"374, 86"
"22";"21"
"4517";"281, 13"
"1431";"134, 13"
"776";"786, 140"
"4176";"657, 664, 94"
"1090";"1147, 1091, 1096, 1088, 1069"
"435";""
"31";"30, 27, 19"
"749";"501"
"4526";"2698, 2833, 3679, 13, 281"
"785";""
"4185";"4672, 134, 13"
"444";"442, 441"
"3844";"216, 217"
"758";"440"
"103";"79"
"3503";"90, 13"
"417";"416, 413, 81, 99, 418, 415"
"76";"75, 77"
"1969";"3087, 13, 281, 1806, 4586"
"4194";"209, 210"
"3853";"1882, 536, 13"
"112";"101, 115, 110, 78, 106, 109, 105, 103, 108, 80, 104, 114, 107, 79, 111, 100"
"1978";"167, 18"
"1637";"3422, 90, 13"
"1296";"2180, 90, 13"
"4607";"3388, 134, 13"
"3207";"3897, 235"
"2866";"2652, 90, 13"
"2050";"209, 210"
"991";"764, 628"
"650";"643, 516"
"309";""
"964";"528"
"2059";"2897, 134, 13"
"1404";"838, 811"
"1000";"758, 440"
"1063";"1043, 1032"
"1718";"257"
"659";""
"318";""
"1413";"510, 435"
"4472";"281, 13, 2960, 1644"
"1072";"1085, 1050, 33"
"1727";"720"
"1386";"2113, 134, 13"
"731";""
"1045";"1029, 602"
"327";""
"4466";"90, 13"
"2573";"1738, 536, 13"
"4125";"90, 13"
"4439";"134, 13"
"3784";"167, 18"
"698";"715, 700, 243"
"4098";"90, 13"
"3443";"1411, 3115, 140"
"3757";"167, 18"
"357";""
"16";"15"
"1586";"529, 531, 94"
"4511";"216, 217"
"4448";"3707, 281, 13"
"3793";"134, 13"
"4107";"172, 175"
"3452";"189, 87"
"3766";"189, 87"
"3111";"189, 87"
"4547";"207, 199"
"4206";"2417, 134, 13"
"4520";"515, 18"
"3865";"668, 665, 94"
"3461";"90, 13"
"3120";"893, 878, 3017, 21, 729, 879, 884, 140, 3583, 768, 235"
"97";""
"563";"555, 565, 574, 569, 306"
"4215";"90, 13"
"3874";"172, 175"
"3533";"167, 18"
"2474";"1518, 3295, 1975, 21, 729, 3297, 140, 1022, 768, 1081, 1049, 4145, 3139, 3067, 235, 1019"
"3192";"3278, 90, 13"
"2788";"90, 13"
"1317";"3726, 4211, 281, 13"
"3542";"216, 217"
"3201";"216, 217"
"4412";"2817, 90, 13"
"1667";"189, 87"
"1326";"1832, 281, 13"
"4726";"3680, 134, 13"
"985";"984, 993"
"4421";"728, 738, 94"
"4080";"167, 18"
"4394";"90, 13"
"994";"958"
"653";"673, 94"
"312";"150"
"4089";"536, 13"
"348";"158"
"3748";"3737, 134, 13"
"7";""
"3273";"90, 13"
"4502";"134, 13"
"4161";"1646, 90, 13"
"734";""
"79";""
"393";""
"1200";"510, 435"
"4170";"281, 13"
"3829";"172, 175"
"88";""
"402";"52"
"2295";"573, 562, 94"
"1954";"2677, 90, 13"
"1613";"134, 13"
"1963";"69"
"4708";"207, 199"
"1622";"2150, 1567, 13, 281, 1236"
"1281";"3819, 18, 3930, 806"
"626";"516"
"940";"766"
"2851";"4219, 281, 13, 2927"
"4717";"281, 13"
"976";"955"
"3901";"512, 505"
"635";"634, 644"
"294";"296, 33"
"949";""
"608";"615, 627, 511, 513"
"4385";"1344, 235"
"1048";""
"644";""
"1362";"4267, 134, 13"
"707";"702, 696, 306"
"303";"159"
"3569";"2256, 90, 13"
"2169";"2101, 515, 18"
"4457";"134, 13"
"716";""
"1371";"216, 217"
"375";"85, 366, 356, 371, 86, 374, 359, 363, 358, 369, 364"
"1030";"858, 524"
"2923";"4385, 1226, 1344, 235"
"2582";"209, 210"
"411";"237"
"725";""
"70";"69"
"384";"382, 81, 377, 99, 378, 383"
"2932";"281, 13"
"43";"44, 41, 40"
"2591";"13, 281, 4561, 1785, 2736"
"2250";"3898, 281, 13"
"1909";"2854, 4140, 13, 281, 3142"
"52";""
"1945";"2138, 281, 13"
"2259";"3767, 90, 13"
"1604";"167, 18"
"1918";"1809, 90, 13"
"1263";"189, 87"
"922";"773"
"1577";"134, 13"
"1236";"1567, 281, 13, 2150"
"1676";"207, 199"
"1990";"172, 175"
"4538";"167, 18"
"1272";"658, 663, 94"
"4197";"207, 199"
"931";"552"
"276";""
"1245";"4260, 90, 13"
"590";"592, 53"
"249";"246, 244"
"904";""
"2797";"18, 1507, 1262, 795"
"1685";"529, 531, 94"
"1999";"207, 199"
"1344";"235"
"1003";"956, 81"
"3551";"3981, 306"
"285";"283, 160"
"1658";"1555, 134, 13"
"599";"600, 598"
"3210";"4461, 18, 1211, 515"
"3524";"4414, 134, 13"
"258";""
"2806";"512, 505"
"1039";"305"
"2008";"882, 572"
"1353";"536, 13"
"1012";"962, 913, 1001, 966, 1002, 508, 927, 918"
"3560";"4568, 281, 13"
"671";"656"
"3219";"90, 13"
"267";"269, 153, 270, 140, 235, 272, 268"
"330";"158, 348, 335, 336"
"2878";"172, 175"
"2537";"134, 13"
"1021";""
"366";"369"
"680";"501"
"3228";"90, 13"
"25";"20"
"2232";"1242, 795, 18"
"339";"333, 344, 334, 80, 341, 79"
"2887";"216, 217"
"1891";"3723, 90, 13"
"2546";"3549, 134, 13"
"2205";"172, 175"
"1550";"1537, 281, 13, 4576"
"34";"35"
"2645";"167, 18"
"2304";"4127, 90, 13"
"2241";"3503, 90, 13"
"2959";"167, 18"
"1900";"90, 13"
"2555";"3661, 90, 13"
"2214";"3886, 536, 13"
"1559";"2033, 90, 13"
"1873";"13, 281, 2658, 1822, 1229"
"1218";"2943, 90, 13"
"1532";"884, 140"
"3425";"536, 13"
"2313";"172, 175"
"2627";"90, 13"
"1972";"2830, 134, 13"
"1254";"172, 175"
"4179";"90, 13"
"2286";"90, 13"
"913";"962, 508"
"1568";"90, 13"
"4493";"515, 18"
"572";""
"3775";"1956, 1783, 4128, 21, 729, 3731, 3454, 4081, 4590, 2161, 140, 3823, 1289, 235, 1642, 3869"
"1227";"3118, 281, 13"
"886";"94"
"3434";"281, 13"
"2322";"134, 13"
"1981";"1086, 1084, 94"
"2636";"172, 175"
"4529";"134, 13"
"4188";"134, 13"
"1640";"207, 199"
"3847";"4171, 90, 13"
"1299";"209, 210"
"581";""
"895";""
"3506";"4211, 13, 281, 3726, 1317"
"240";"242"
"3820";"216, 217"
"1335";"134, 13"
"1649";"1433, 134, 13"
"1308";"90, 13"
"3856";"281, 13, 3934, 3825"
"3515";"4126, 134, 13"
"2860";"216, 217"
"967";""
"2519";"653, 673, 94"
"3174";"1634, 134, 13"
"2833";"2698, 281, 13"
"662";"652, 602"
"3587";"134, 13"
"321";"318"
"2869";"281, 13, 2643, 1946"
"2528";"3620, 134, 13"
"3183";"2873, 134, 13"
"2842";"209, 210"
"2187";"134, 13"
"1846";"216, 217"
"2501";"216, 217"
"2160";"2232, 18, 1242, 795"
"3282";"167, 18"
"3596";"3810, 4605, 659"
"2941";"216, 217"
"1882";"536, 13"
"2600";"189, 87"
"3255";"172, 175"
"2196";"3958, 795, 18"
"2914";"512, 505"
"1541";"1539, 536, 13"
"4403";"3889, 281, 13"
"1855";"216, 217"
"2510";"189, 87"
"4062";"207, 199"
"1514";"3157, 134, 13"
"2950";"207, 199"
"3264";"281, 13"
"2609";"216, 217"
"2268";"189, 87"
"4475";"134, 13"
"1927";"2551, 90, 13"
"1864";"2954, 90, 13"
"1209";"306"
"1523";"134, 13"
"4134";"167, 18"
"4071";"4019, 134, 13"
"2618";"3389, 13, 281, 4274, 4189"
"2277";"528"
"4484";"4098, 90, 13"
"1936";"456, 457, 81"
"4143";"2874, 90, 13"
"877";"798"
"1595";"529, 531, 94"
"3488";"2303, 3604, 281, 13"
"3802";"90, 13"
"3147";"281, 13, 3625, 3080"
"61";""
"1631";"90, 13"
"4556";"515, 18"
"3838";"510, 435"
"1290";"90, 13"
"4152";"90, 13"
"3497";"659"
"3811";"90, 13"
"3156";"558, 557, 94"
"3470";"134, 13"
"2815";"450, 18"
"3129";"806, 18"
"3910";"4125, 90, 13"
"4224";"172, 175"
"958";""
"3883";"90, 13"
"617";"611, 511, 513, 616"
"3165";"1504, 281, 13"
"3479";"18, 2662, 4284, 515"
"2824";"4490, 90, 13"
"2483";"281, 13, 1716, 2409"
"3138";"167, 18"
"3919";"4466, 90, 13"
"4233";"3264, 281, 13"
"3578";"4668, 134, 13"
"3892";"1183, 21, 729, 1022, 768, 1081, 1049, 235"
"3237";"4628, 90, 13"
"2896";"216, 217"
"2178";"189, 87"
"1837";"90, 13"
"2492";"728, 738, 94"
"4699";"456, 457, 81"
"2151";"2553, 90, 13"
"3246";"209, 210"
"2905";"2046, 134, 13"
"2564";"167, 18"
"2223";"4215, 90, 13"
"4116";"167, 18"
"4430";"1807, 90, 13"
"689";"33"
"10";"11, 12"
"2217";"172, 175"
"2531";"2400, 90, 13"
"1876";"167, 18"
"2190";"515, 18"
"1535";"90, 13"
"1849";"4493, 18, 515, 1374"
"1194";"134, 13"
"4056";"3353, 2498, 13, 281, 1681"
"1508";"2659, 134, 13"
"3401";"2109, 134, 13"
"3715";"209, 210"
"2262";"167, 18"
"2199";"2183, 90, 13"
"1544";"4492, 515, 18"
"1858";"893, 878, 21, 729, 879, 884, 4223, 140, 768, 3063, 235"
"4469";"207, 199"
"3751";"134, 13"
"1203";"1335, 134, 13"
"862";"501"
"3410";"167, 18"
"3069";"1267, 281, 13, 2077"
"521";"523"
"2728";"893, 878, 2476, 3061, 21, 729, 879, 884, 3846, 140, 768, 235"
"4164";"3267, 134, 13"
"1616";"167, 18"
"4478";"216, 217"
"3823";"1783, 235"
"557";"94"
"1212";"90, 13"
"4137";"207, 199"
"871";""
"3419";"4458, 90, 13"
"3482";"90, 13"
"530";"450, 18"
"3078";"207, 199"
"2737";"2322, 134, 13"
"189";"87"
"4173";"717, 718, 94"
"1625";"216, 217"
"1284";"90, 13"
"3832";"207, 199"
"3491";"3830, 90, 13"
"943";"928, 318"
"225";"117, 118"
"2836";"216, 217"
"3805";"1353, 536, 13"
"2432";"281, 13"
"3150";"134, 13"
"2746";"134, 13"
"3464";"1019, 140"
"2091";"558, 557, 94"
"1293";"90, 13"
"3186";"172, 175"
"3500";"172, 175"
"2845";"172, 175"
"2504";"172, 175"
"3159";"668, 665, 94"
"2163";"620, 448"
"2818";"90, 13"
"2477";"172, 175"
"4684";"3279, 90, 13"
"306";""
"2513";"167, 18"
"2172";"1953"
"2827";"717, 718, 94"
"4379";"281, 13"
"1831";"3755, 134, 13"
"2486";"209, 210"
"1490";"189, 87"
"4038";"536, 13"
"3697";"90, 13"
"4011";"281, 13, 4295, 2338"
"2585";"3207, 3564, 3897, 235"
"4451";"4133, 90, 13"
"1840";"2895, 90, 13"
"4047";"216, 217"
"1499";"216, 217"
"1158";""
"3706";"515, 18"
"817";"18"
"3365";"134, 13"
"2253";"3997, 134, 13"
"4460";"90, 13"
"1912";"2956, 134, 13"
"4119";"512, 505"
"853";"818, 856"
"1571";"1782, 13, 281, 2261, 1294"
"512";"505"
"4433";"90, 13"
"3778";"216, 217"
"3060";"167, 18"
"4092";"167, 18"
"37";"38, 36"
"3374";"743, 740, 94"
"1921";"189, 87"
"3814";"4510, 90, 13"
"4128";"140"
"3473";"209, 210"
"3787";"209, 210"
"3132";"281, 13, 4249, 1657"
"180";"8, 7"
"3446";"1979, 134, 13"
"3105";"510, 435"
"3859";"207, 199"
"3796";"657, 664, 94"
"3141";"4292, 134, 13"
"2800";"717, 718, 94"
"3455";"209, 210"
"2459";"18, 1790, 2190, 515"
"3114";"1378, 134, 13"
"4666";"1793, 90, 13"
"2118";"1535, 90, 13"
"4325";"1982, 3122, 18, 515"
"3527";"167, 18"
"2809";"90, 13"
"2468";"2290, 134, 13"
"2127";"167, 18"
"4675";"189, 87"
"4334";"2388, 134, 13"
"1786";"134, 13"
"3222";"1516, 90, 13"
"2881";"281, 3411, 1361, 13"
"1822";"1229, 281, 13"
"2136";"209, 210"
"4343";"4439, 134, 13"
"3688";"167, 18"
"1795";"3228, 90, 13"
"665";"94"
"4002";"207, 199"
"2890";"134, 13"
"4442";"524"
"2549";"3305, 134, 13"
"4101";"172, 175"
"4415";"2330, 90, 13"
"1149";"280, 159"
"674";"686, 528"
"4074";"172, 175"
"333";"80"
"4110";"216, 217"
"4424";"2331, 18, 3328, 817"
"3769";"134, 13"
"4083";"189, 87"
"342";"343, 340, 158"
"3428";"90, 13"
"3742";"167, 18"
"3087";"281, 4586, 13, 1806"
"1";"2, 3"
"4496";"2805, 134, 13"
"4155";"1321, 134, 13"
"3437";"207, 199"
"3096";"512, 505"
"2755";"209, 210"
"2414";"841, 829, 94"
"3850";"2068, 134, 13"
"2764";"2058, 134, 13"
"2423";"134, 13"
"1948";"657, 664, 94"
"889";"895"
"548";"381"
"207";"199"
"3518";"281, 2433, 13, 2023"
"3177";"134, 13"
"1302";"3129, 806, 18"
"4702";"207, 199"
"4639";"167, 18"
"961";""
"1275";""
"216";"217"
"4397";"1498, 134, 13"
"1311";"134, 13"
"4711";"3555, 13, 4256, 281, 2128"
"4370";"189, 87"
"970";"758, 923, 989, 440"
"629";"630, 626, 516, 613, 607"
"288";"280, 159"
"2495";"189, 87"
"4406";"795, 18"
"4720";"172, 175"
"4065";"189, 87"
"979";"924, 933"
"3724";"1326, 281, 1832, 13"
"324";"227"
"638";"650, 647, 648, 516, 643"
"3383";"189, 87"
"297";"301, 302, 160, 159, 303, 299, 300"
"3733";"172, 175"
"3392";"3551, 3981, 306"
"3051";"189, 87"
"1517";"216, 217"
"1176";"1110, 280, 160, 1089, 159, 1149, 1145"
"4487";"512, 505"
"4146";"3530, 21, 729, 1022, 768, 1081, 1049, 235"
"1930";"134, 13"
"2244";"456, 457, 81"
"1526";"281, 13"
"1185";"4657, 90, 13"
"844";""
"503";"500, 68"
"1939";"216, 217"
"1598";"209, 210"
"1257";"172, 175"
"539";"537"
"198";"193, 194"
"4693";"281, 1549, 13, 3615"
"4352";"189, 87"
"1607";"90, 13"
"952";"982"
"611";""
"1266";"3402, 134, 13"
"925";"1007"
"270";"268, 235"
"584";"587, 579, 7"
"2791";"172, 175"
"4361";"189, 87"
"620";"448"
"4020";"281, 13, 4555, 3786"
"279";"278, 258"
"934";"925, 1007"
"593";"599, 600, 598"
"2145";"843, 837, 94"
"252";""
"1804";"167, 18"
"4029";"189, 87"
"351";"353"
"2899";"281, 13"
"3213";"529, 531, 94"
"2558";"1572, 90, 13"
"2154";"189, 87"
"2872";"3912, 90, 13"
"1813";"209, 210"
"1472";"2470, 817, 18"
"19";""
"2567";"90, 13"
"2226";"167, 18"
"2540";"3706, 515, 18"
"1167";"572"
"1885";"207, 199"
"1481";"172, 175"
"826";"844"
"1140";"744"
"28";"26"
"2576";"2667, 90, 13"
"2235";"134, 13"
"1580";"529, 531, 94"
"1894";"4348, 3099, 13, 2144, 281"
"1239";"4716, 90, 13"
"898";"709, 659"
"835";"861, 831"
"1553";"281, 13"
"3760";"90, 13"
"1589";"852, 855, 94"
"1903";"281, 13"
"1248";"1837, 90, 13"
"4648";"2714, 90, 13"
"907";"870, 94"
"1562";"134, 13"
"1221";"207, 199"
"566";"564"
"880";"284, 890, 695, 864, 876, 899"
"2773";"209, 210"
"4657";"90, 13"
"602";""
"916";""
"261";"39"
"575";""
"1230";"843, 837, 94"
"3841";"172, 175"
"3123";"2371, 281, 13, 2216"
"234";"232, 233"
"2782";"209, 210"
"2441";"4239, 281, 13, 2877"
"2100";"456, 457, 81"
"988";"435"
"3536";"134, 13"
"647";"648"
"3195";"1903, 281, 13"
"243";""
"3509";"172, 175"
"2854";"281, 4140, 13, 3142"
"2450";"207, 199"
"3168";"4203, 90, 13"
"2109";"134, 13"
"1454";"90, 13"
"656";""
"3204";"257"
"2208";"189, 87"
"315";"52"
"2863";"207, 199"
"1867";"828, 836, 94"
"2522";"189, 87"
"4729";"189, 87"
"2181";"134, 13"
"1463";"821, 832"
"4388";"209, 210"
"1777";"2733, 134, 13"
"3709";"456, 457, 81"
"282";"20"
"3368";"189, 87"
"1493";"529, 531, 94"
"1152";"1094"
"3377";"3992, 134, 13"
"1843";"3414, 134, 13"
"1502";"1447, 3763, 2112, 13, 281"
"1161";"153, 140"
"820";"842, 501"
"4597";"189, 87"
"1170";"858, 524"
"1888";"167, 18"
"829";"94"
"174";""
"488";"250, 18"
"147";"146, 33"
"928";"318"
"587";"579, 7"
"3790";"172, 175"
"1242";"795, 18"
"901";"99, 81"
"183";""
"3449";"3021, 90, 13"
"497";"498"
"3108";"605, 448"
"156";"157, 155, 154"
"4678";"736, 745, 94"
"1251";"515, 18"
"596";"591, 306"
"910";"894, 695"
"255";"251, 252"
"569";"306"
"228";"52"
"2776";"852, 855, 94"
"1717";"209, 210"
"2435";"1446, 134, 13"
"4005";"209, 210"
"264";"263, 265, 153, 140"
"578";"577, 553"
"2471";"3879, 4060, 281, 13"
"2130";"189, 87"
"1789";"189, 87"
"1448";"3287, 134, 13"
"1762";"3999, 134, 13"
"2202";"90, 13"
"1798";"2181, 134, 13"
"2516";"281, 13, 3675, 2917"
"802";"775, 140"
"1457";"4565, 90, 13"
"1116";"914"
"461";"311"
"775";"140"
"3323";"209, 210"
"1556";"90, 13"
"1870";"167, 18"
"2525";"1466, 90, 13"
"811";""
"4077";"134, 13"
"2184";"134, 13"
"1466";"90, 13"
"1529";"2441, 2877, 13, 281, 4239"
"1125";"1135, 628, 1139, 1126"
"3736";"172, 175"
"470";"446"
"784";"802, 775, 140"
"129";"132, 128, 130, 127, 126, 131"
"443";"250, 18"
"1565";"216, 217"
"1879";"216, 217"
"1224";"2042, 134, 13"
"4086";"167, 18"
"1538";"3753, 90, 13"
"883";"881, 892"
"1197";"167, 18"
"479";""
"3745";"90, 13"
"542";"52"
"138";"13"
"3404";"189, 87"
"452";""
"1233";"209, 210"
"4633";"3005, 134, 13"
"1547";"90, 13"
"892";""
"551";""
"1206";"1331, 90, 13"
"3099";"281, 13, 2144, 4348"
"210";""
"2758";"882, 572"
"2417";"134, 13"
"2731";"134, 13"
"560";"27, 19"
"219";""
"2767";"209, 210"
"2426";"529, 531, 94"
"2085";"207, 199"
"1430";"167, 18"
"4292";"134, 13"
"1744";"456, 457, 81"
"3951";"90, 13"
"2839";"2034, 515, 18"
"291";"292, 287"
"3153";"515, 18"
"1780";"207, 199"
"2498";"1681, 281, 13"
"4705";"4442, 524"
"2094";"189, 87"
"1439";"1898, 90, 13"
"2812";"281, 3259, 3971, 13"
"1753";"134, 13"
"1098";"159"
"757";""
"1412";"281, 13"
"2193";"90, 13"
"2507";"1173"
"1852";"207, 199"
"4714";"209, 210"
"2166";"209, 210"
"4373";"4585, 134, 13"
"1825";"134, 13"
"1107";"99, 81, 901, 866"
"4032";"134, 13"
"1421";"281, 13"
"766";""
"1080";"94"
"1861";"1614, 134, 13"
"2175";"90, 13"
"1520";"189, 87"
"1834";"167, 18"
"1179";"1154, 552"
"3727";"209, 210"
"4041";"510, 435"
"838";"811"
"120";""
"3386";"2284, 134, 13"
"3700";"2931, 90, 13"
"3045";"2581, 536, 13"
"3359";"90, 13"
"1188";"2337, 90, 13"
"3799";"209, 210"
"4113";"4663, 134, 13"
"847";"160, 772, 159, 851, 840, 860"
"3395";"189, 87"
"506";"509, 53"
"3054";"281, 2083, 13, 4446"
"165";"53"
"2713";"172, 175"
"2058";"134, 13"
"2372";"4252"
"3027";"888, 886, 94"
"856";""
"3467";"209, 210"
"3781";"189, 87"
"515";"18"
"2408";"216, 217"
"3063";"884, 140"
"3126";"2034, 18, 2839, 515"
"2067";"167, 18"
"2722";"1209, 306"
"1726";"2691, 13, 281, 3885, 2003"
"2381";"1478, 90, 13"
"2040";"536, 13"
"4588";"1949, 90, 13"
"3162";"134, 13"
"2821";"216, 217"
"3476";"281, 13"
"3135";"1684, 90, 13"
"2076";"189, 87"
"2794";"281, 13, 4431, 3416"
"1735";"2211, 281, 13"
"2390";"207, 199"
"2049";"172, 175"
"1394";"90, 13"
"2830";"134, 13"
"3144";"605, 448"
"2489";"3863, 1222, 789, 1067, 1047, 1751, 1772, 3409, 3079, 1066, 4200, 744, 1056, 2668, 1037"
"2148";"456, 457, 81"
"2803";"4556, 515, 18"
"1807";"90, 13"
"1089";"280, 160, 159, 1149, 1145"
"2462";"167, 18"
"4669";"3631, 134, 13"
"2121";"1412, 281, 13"
"1403";"456, 457, 81"
"4014";"207, 199"
"4328";"4450, 3530, 21, 729, 2016, 140, 1022, 768, 1081, 1049, 235, 4146, 2159, 1019"
"2157";"281, 13"
"4364";"207, 199"
"1816";"717, 718, 94"
"4023";"209, 210"
"1475";"90, 13"
"4337";"209, 210"
"3682";"3705, 817, 18"
"1134";"94"
"3996";"189, 87"
"3341";"167, 18"
"3655";"3215, 90, 13"
"4436";"1318, 90, 13"
"4095";"207, 199"
"1484";"134, 13"
"4409";"2238, 90, 13"
"3691";"209, 210"
"3036";"4614, 90, 13"
"1143";"193, 194"
"3350";"620, 448"
"2695";"216, 217"
"2354";"1122, 7"
"3009";"207, 199"
"2668";"1222, 1067, 1751, 3409, 1066, 744"
"4104";"515, 18"
"4418";"209, 210"
"3763";"2112, 281, 13"
"2704";"235"
"3422";"90, 13"
"2363";"512, 505"
"3018";"172, 175"
"2677";"90, 13"
"3458";"207, 199"
"3772";"90, 13"
"3117";"90, 13"
"3431";"3365, 134, 13"
"3090";"134, 13"
"2031";"4549, 90, 13"
"2686";"995, 922, 773"
"2749";"515, 18"
"4642";"216, 217"
"1215";"134, 13"
"2785";"90, 13"
"3440";"90, 13"
"2444";"512, 505"
"2103";"1787"
"4651";"189, 87"
"4310";"90, 13"
"4624";"2704, 235"
"3969";"167, 18"
"2453";"134, 13"
"4723";"90, 13"
"4660";"172, 175"
"2112";"281, 13"
"4319";"281, 13, 1282, 3927"
"3664";"2862, 134, 13"
"1771";"2392, 134, 13"
"3978";"172, 175"
"3637";"4534, 90, 13"
"237";""
"4391";"1312, 90, 13"
"3673";"209, 210"
"3987";"811"
"246";"244"
"3332";"189, 87"
"3646";"13, 3686, 281, 2138, 1945"
"2991";"1462, 134, 13"
"3305";"134, 13"
"4427";"3565, 90, 13"
"4400";"216, 217"
"4059";"134, 13"
"793";"805, 809, 33"
"3718";"4618, 90, 13"
"3000";"189, 87"
"3314";"90, 13"
"3754";"2820, 90, 13"
"4068";"2378, 134, 13"
"3413";"4691, 134, 13"
"3072";"3197, 795, 18"
"1511";"456, 457, 81"
"3081";"167, 18"
"2740";"167, 18"
"2399";"456, 457, 81"
"4606";"216, 217"
"4265";"209, 210"
"865";"896, 867"
"524";""
"4301";"172, 175"
"4615";"2328, 13, 281, 3507, 3430"
"3960";"281, 13"
"4274";"281, 13, 4189, 3389"
"874";"838, 811"
"533";"534, 532, 535"
"192";"88"
"4687";"1060, 258"
"4346";"2595, 134, 13"
"4283";"1573, 90, 13"
"3628";"841, 829, 94"
"605";"448"
"3942";"1588, 281, 13, 4299"
"919";"961"
"201";"203"
"4382";"2332, 134, 13"
"4696";"4073, 134, 13"
"4355";""
"614";"606"
"273";"274, 243"
"2480";"3049, 515, 18"
"2139";"90, 13"
"4050";"2247, 90, 13"
"3981";"306"
"60";"62, 61"
"3326";"209, 210"
"3640";"189, 87"
"2985";"90, 13"
"3739";"3001, 90, 13"
"3021";"90, 13"
"2680";"207, 199"
"3335";"172, 175"
"2339";"2420, 817, 18"
"2994";"2087, 90, 13"
"2653";"90, 13"
"2312";"189, 87"
"3407";"189, 87"
"2348";"1561, 134, 13"
"3066";"172, 175"
"2007";"3071, 90, 13"
"2662";"515, 18"
"4555";"281, 13"
"4214";"1039, 305"
"1666";"90, 13"
"4528";"216, 217"
"3102";"2349, 134, 13"
"3416";"281, 13"
"3075";"893, 878, 2762, 21, 729, 879, 884, 2793, 2894, 140, 768, 235"
"4627";"456, 457, 81"
"4286";"216, 217"
"1675";"3523, 90, 13"
"4600";"167, 18"
"1334";"1086, 1084, 94"
"859";"522, 81"
"2429";"2099, 1702"
"4636";"2849, 90, 13"
"2088";"207, 199"
"4295";"281, 13"
"4609";"3745, 90, 13"
"1343";"2932, 281, 13"
"3954";"281, 13, 2594, 3995"
"4268";"3171, 90, 13"
"213";"39"
"3613";"2480, 18, 3049, 515"
"186";"87"
"2097";"134, 13"
"4367";"3649, 775, 140"
"4304";"207, 199"
"3649";"775, 140"
"3963";"207, 199"
"222";"223"
"3622";"3984, 90, 13"
"3281";"281, 13"
"4376";"512, 505"
"4035";"852, 855, 94"
"3317";"207, 199"
"3631";"134, 13"
"2976";"134, 13"
"3290";"189, 87"
"2635";"4379, 281, 13"
"4044";"189, 87"
"3703";"653, 673, 94"
"2644";"216, 217"
"2303";"281, 13"
"1828";"2899, 281, 13"
"87";""
"3398";"207, 199"
"1971";"2681, 90, 13"
"4582";"536, 13"
"1496";"2814, 134, 13"
"1155";"421"
"437";"423"
"96";"98, 97"
"2725";"209, 210"
"4618";"90, 13"
"1191";"207, 199"
"4591";"167, 18"
"4250";"216, 217"
"850";"859, 522, 81"
"509";"53"
"3909";"189, 87"
"168";""
"482";"463"
"4663";"134, 13"
"3945";"1832, 3724, 13, 281, 1326"
"4259";"2443, 281, 13"
"3604";"2303, 281, 13"
"518";"521, 523"
"3918";"3003, 90, 13"
"3577";"209, 210"
"177";"179, 176, 53"
"2043";"281, 13"
"1702";""
"4672";"134, 13"
"4331";"4582, 536, 13"
"3272";"209, 210"
"2931";"90, 13"
